provider,city,car type,Night_start_time,night base fare,night base km,fare per km,Night waiting Charge,day base fare,day base km,fare per km,Day waiting charge,Night_end_time,Minimum bill,Cancellation Charge,ride charge,ride charge after,night ride charge,nide ride charge after
ola,Tirunelveli,Economy Sedan,0,49,2,15,2,49,2,15,2,0,0,0,0,0,0,0
ola,Tirunelveli,Mini,0,49,3,13,2,49,3,13,2,0,0,0,0,0,0,0
ola,Haridwar,Economy Sedan,0,49,2,14,2,49,2,14,2,0,0,0,0,0,0,0
ola,Haridwar,Mini,0,49,2,12,2,49,2,12,2,0,0,0,0,0,0,0
ola,Nashik,Economy Sedan,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Nashik,Mini,0,49,3,10,0,49,3,10,0,0,0,0,1,0,1,0
ola,Jhansi,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Jhansi,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Tiruppur,Economy Sedan,0,49,2,14,2,49,2,14,2,0,0,0,0,0,0,0
ola,Tiruppur,Mini,0,49,2,12,2,49,2,12,2,0,0,0,0,0,0,0
ola,Varanasi,Economy Sedan,0,49,2,14,2,49,2,14,2,0,0,0,0,0,0,0
ola,Varanasi,Mini,0,49,2,12,2,49,2,12,2,0,0,0,0,0,0,0
ola,Vadodara,Economy Sedan,0,49,2,14,0,49,2,14,0,0,0,0,1,0,1,0
ola,Vadodara,Mini,0,49,3,12,0,49,3,12,0,0,0,0,1,0,1,0
ola,Ambala,Economy Sedan,0,60,3,13,0,60,3,13,0,0,0,0,1,0,1,0
ola,Ambala,Mini,0,60,3,10,0,60,3,10,0,0,0,0,1,0,1,0
ola,Patna,Economy Sedan,0,49,2,14,0,49,2,14,0,0,0,0,1,0,1,0
ola,Patna,Mini,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Jaipur,Prime,0,200,5,18,0,200,5,18,0,0,0,0,2,0,2,0
ola,Jaipur,Mini,0,49,3,10,2,49,3,10,2,0,0,0,0,0,0,0
ola,Jaipur,Economy Sedan,0,99,5,14,2,99,5,14,2,0,0,0,0,0,0,0
ola,Allahabad,Economy Sedan,0,99,5,14,2,99,5,14,2,0,0,0,0,0,0,0
ola,Allahabad,Mini,0,99,5,12,2,99,5,12,2,0,0,0,0,0,0,0
ola,Aurangabad,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Aurangabad,Mini,0,49,3,12,0,49,3,12,0,0,0,0,1,0,1,0
ola,Vijayawada,Economy Sedan,0,60,3,13,0,60,3,13,0,0,0,0,1,0,1,0
ola,Vijayawada,Mini,0,60,3,10,0,60,3,10,0,0,0,0,1,0,1,0
ola,Solapur,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Hubli Dharwad,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Hubli Dharwad,Mini,0,49,2,11,0,49,2,11,0,0,0,0,1,0,1,0
ola,Ballari,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Ballari,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Thanjavur,Mini,0,49,3,12,0,49,3,12,0,0,0,0,1,0,1,0
ola,Salem,Economy Sedan,0,49,2,15,0,49,2,15,0,0,0,0,1,0,1,0
ola,Salem,Mini,0,49,3,13,0,49,3,13,0,0,0,0,1,0,1,0
ola,Mangalore,Economy Sedan,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Mangalore,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Patiala,Economy Sedan,0,60,3,13,0,60,3,13,0,0,0,0,1,0,1,0
ola,Patiala,Mini,0,60,3,10,0,60,3,10,0,0,0,0,1,0,1,0
ola,Madurai,Economy Sedan,0,49,2,15,2,49,2,15,2,0,0,0,0,0,0,0
ola,Madurai,Mini,0,49,3,13,2,49,3,13,2,0,0,0,0,0,0,0
ola,Rajahmundry,Mini,0,60,3,10,0,60,3,10,0,0,0,0,1,0,1,0
ola,Dehradun,Economy Sedan,0,49,2,14,2,49,2,14,2,0,0,0,0,0,0,0
ola,Dehradun,Mini,0,49,2,12,2,49,2,12,2,0,0,0,0,0,0,0
ola,Amritsar,Economy Sedan,0,49,2,15,2,49,2,15,2,0,0,0,0,0,0,0
ola,Guwahati,Economy Sedan,0,49,2,14,0,49,2,14,0,0,0,0,1,0,1,0
ola,Guwahati,Mini,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Mumbai,Economy Sedan,0,150,6,16,0,150,6,16,0,0,0,0,1,5,1,5
ola,Mumbai,Mini,0,100,4,13,0,100,4,13,0,0,0,0,1,5,1,5
ola,Mumbai,Prime,0,200,5,17,0,200,5,17,0,0,0,0,2,0,2,0
ola,Warangal,Mini,0,60,3,10,0,60,3,10,0,0,0,0,1,0,1,0
ola,Goa,Economy Sedan,0,250,6,15,0,250,6,15,0,0,0,0,2,10,2,10
ola,Pune,Economy Sedan,0,49,2,15,0,49,2,15,0,0,0,0,1,5,1,5
ola,Pune,Mini,0,49,2,12,0,49,2,12,0,0,0,0,1,5,1,5
ola,Pune,Prime,0,200,5,18,0,200,5,18,0,0,0,0,2,0,2,0
ola,Raipur,Economy Sedan,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Udaipur,Economy Sedan,0,49,2,14,2,49,2,14,2,0,0,0,0,0,0,0
ola,Udaipur,Mini,0,49,2,12,2,49,2,12,2,0,0,0,0,0,0,0
ola,Chandigarh,Economy Sedan,0,49,3,14,0,49,3,14,0,0,0,0,1,5,1,5
ola,Chandigarh,Mini,0,49,3,10,0,49,3,10,0,0,0,0,1,5,1,5
ola,Tirupati,Economy Sedan,0,99,5,14,0,99,5,14,0,0,0,0,1,10,1,10
ola,Tirupati,Mini,0,99,5,12,0,99,5,12,0,0,0,0,1,10,1,10
ola,Jabalpur,Economy Sedan,0,49,2,14,0,49,2,14,0,0,0,0,1,0,1,0
ola,Jabalpur,Mini,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
ola,Guntur,Mini,0,60,3,10,0,60,3,10,0,0,0,0,1,0,1,0
ola,Bhubaneswar,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Bhubaneswar,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Gaya,Economy Sedan,0,49,2,13,0,49,2,13,0,0,0,0,1,0,1,0
ola,Bhavnagar,Mini,0,49,2,10,0,49,2,10,0,0,0,0,1,0,1,0
ola,Indore,Economy Sedan,0,49,2,12,0,49,2,12,0,0,0,0,1,0,1,0
